threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;2;3;4;6;7;8;10,8,0.01852452478384917,5,0.0,0.0,5
0.9,1;2;3;4;5;6;7;8;10,9,0.01495722396363512,5,0.0,0.0,5
0.95,1;2;3;4;5;6;7;8;10,9,0.01495722396363512,5,0.0,0.0,5
0.99,1;2;3;4;5;6;7;8;9;10,10,0.014214979639978621,1,0.0001,0.0,5
1.0,1;2;3;4;5;6;7;8;9;10,10,0.014214979639978621,1,0.0001,0.0,5
