analysis,cold_start_rmse,cvar_05,cvar_15,dataset,fit_and_test_seconds,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,seed,setting,smape,solve_seconds,tau,wape
boundary,0.025637237720045725,0.061008307164311264,0.04203671885888444,boundary_reset,,0.0058832,0.0001,cholesky,0.014497340317219628,7.273482357933513,1.0,0.2602003378992337,-0.0008185734858458096,0.010143987397477829,adaptive_ridge__reset,1000,110,quadratic,0.04154746222000981,0.021786557984139112,23,reset,6.21860058636293,0.0010378,1,2.268815100383525
boundary,0.2244555036064529,0.18754831940806216,0.09606058409193803,boundary_reset,0.0030697,,,,0.024253527409159994,27.01235885141576,1.0,0.6079378675554721,-0.0038856972607457826,0.012037398590287407,rls__reset,1000,,,0.07581175712021229,0.0547601539867601,23,reset,8.991704491230816,,,3.7956458232623747
boundary,0.19159442696123638,0.2996281646293852,0.2382138676635359,boundary_reset,0.0010743,,,,0.0953981760704185,64.03010134221624,1.0,0.6027065707976873,-0.07123397753283459,0.07456463356097975,hedge__reset,1000,,,0.24290353977979265,0.12311172989488336,23,reset,26.955187950377816,,,14.929691769774353
boundary,0.04507837335215989,0.12997125768074266,0.09837686667626215,boundary_reset,0.0002327,,,,0.03833475021653265,22.451100682852925,1.0,0.29429679765446504,-0.0054518462574534195,0.031046821367551602,passive_aggressive__reset,1000,,,0.10359033280279763,0.050188088489290586,23,reset,13.827875152604859,,,5.999339068932079
boundary,0.11220333520239792,0.06909863147355905,0.04463565573159098,boundary_borrow,,0.0058967,0.0001,cholesky,0.014863859917733287,9.228168269299431,1.0,0.49961207399553026,-0.0013666888673551272,0.010437114031883687,adaptive_ridge__borrow_across_events,1000,110,quadratic,0.04187888837989375,0.026481635168486523,23,borrow_across_events,6.347818201630312,0.0008909,1,2.326174946123244
boundary,0.18827054035261193,0.17211011149270752,0.08900385710333729,boundary_reset,0.0032453,,,,0.02297375396010976,24.787702419962507,1.0,0.6079378675554721,-0.003030656697892978,0.01166963064216775,rls__carry,1000,,,0.06922082750735176,0.051957375380928136,23,carry,8.078553651595982,,,3.5953629256589927
boundary,0.16571888324300663,0.2945195615210887,0.23538184633093565,boundary_reset,0.0023739,,,,0.09446801223209911,62.8241012752057,1.0,0.6027065707976873,-0.07056597746629663,0.07418824212261617,hedge__carry,1000,,,0.23868834839131314,0.12173702900808578,23,carry,26.379238835264797,,,14.784122326274218
boundary,0.04221431006114331,0.12376779798452262,0.09951698343919749,boundary_reset,0.0002155,,,,0.04232542638683715,24.48896060063914,1.0,0.20606697996198609,-0.003786605348857638,0.036419068788060595,passive_aggressive__carry,1000,,,0.10243510272889897,0.05325281403031807,23,carry,14.77525582530155,,,6.623874753258485
