threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;2;4;6;7;8,6,0.02607160262199384,1,0.001,0.95,4
0.9,1;2;4;7;8;9;10,7,0.026231553031570244,1,0.001,0.95,4
0.95,1;2;4;5;6;7;8;9;10,9,0.01854253276780669,1,0.0,0.95,4
0.99,1;2;3;4;5;6;7;8;9;10,10,0.01614621062926424,1,0.0,0.95,4
1.0,1;2;3;4;5;6;7;8;9;10,10,0.01614621062926424,1,0.0,0.95,4
