threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,2;5;7,3,0.018239134776946733,3,0.0,0.9,27
0.9,2;5;7;10,4,0.015026203230710394,3,0.0,0.9,27
0.95,1;2;3;4;5;6;7;8;10,9,0.013282915913501179,1,0.0,0.9,27
0.99,1;2;3;4;5;6;7;8;10,9,0.013282915913501179,1,0.0,0.9,27
1.0,1;2;3;4;5;6;7;8;9;10,10,0.012262387415268484,1,0.0,0.9,27
