threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;5;6;9;10,5,0.020038703165336205,10,0.0,0.9,13
0.9,1;2;5;6;9;10,6,0.020547789224022825,2,1.0e-6,0.9,13
0.95,1;2;3;4;5;6;7;9;10,9,0.006496972154810372,1,0.0,0.9,13
0.99,1;2;3;4;5;6;7;8;9;10,10,0.0031789328132275914,1,0.0,0.9,13
1.0,1;2;3;4;5;6;7;8;9;10,10,0.0031789328132275914,1,0.0,0.9,13
