threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;3;9;10,4,0.016116911537398162,2,0.0,0.9,22
0.9,1;2;3;5;6;8;9;10,8,0.004799024585473432,1,0.0,0.9,22
0.95,1;2;3;5;6;7;8;9;10,9,0.0047874318565144435,1,0.0,0.9,22
0.99,1;2;3;4;5;6;7;8;9;10,10,0.004805273524199423,1,0.0,0.9,22
1.0,1;2;3;4;5;6;7;8;9;10,10,0.004805273524199423,1,0.0,0.9,22
