analysis,cold_start_rmse,cvar_05,cvar_15,dataset,fit_and_test_seconds,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,seed,setting,smape,solve_seconds,tau,wape
boundary,0.13087343626853193,0.10806441720532596,0.0722572304895622,boundary_reset,,0.12583280000000002,0.001,cholesky,0.026539324887886215,19.28145308102366,1.0,0.35215419906595313,-0.0011731520246947953,0.02067083477798748,adaptive_ridge__reset,1000,510,quadratic,0.06849078892978752,0.03821102801479022,26,reset,10.193289197497048,0.0442222,5,4.13726530733625
boundary,0.1707938132449217,0.17944621230890598,0.09682470434818148,boundary_reset,0.0092109,,,,0.029224984372955433,22.104464976312407,1.0,0.40647454672529015,-0.0015645438640306433,0.019181423654823393,rls__reset,1000,,,0.07806770195812293,0.0521248776873572,26,reset,11.188222019124527,,,4.555937819234512
boundary,0.11847003001176183,0.22925643687292993,0.18731231924508698,boundary_reset,0.0011846,,,,0.08102785218946755,61.80425794577007,1.0,0.3223343286844494,0.0027827908304456682,0.07087848755878717,hedge__reset,1000,,,0.19484313627999192,0.10051235869866165,26,reset,24.54227134637343,,,12.631584383085416
boundary,0.0873486714097208,0.1977046018595829,0.1542861675892262,boundary_reset,0.0002202,,,,0.06215901210970847,47.50629122447098,1.0,0.29874675971771036,-0.003282565867881786,0.05128609296251946,passive_aggressive__reset,1000,,,0.15807273308348094,0.08000730385134912,26,reset,19.692463488571743,,,9.690085389367772
boundary,0.09256014088778537,0.10181643178615114,0.07053692277825586,boundary_borrow,,0.0326592,0.0001,cholesky,0.026341627886985207,13.997972013166438,1.0,0.33920284116560817,0.002047005788409359,0.020271850829265015,adaptive_ridge__borrow_across_events,1000,310,quadratic,0.06774730784003262,0.0369213832076557,26,borrow_across_events,9.43761233887138,0.0105862,3,4.106445949773559
boundary,0.14371104389820555,0.16800504604641436,0.09067701314314369,boundary_reset,0.0242105,,,,0.027724401261299336,18.44885412038753,1.0,0.40647454672529015,-0.0014042609896743052,0.0180556923684502,rls__carry,1000,,,0.07070730232040756,0.04973422924132365,26,carry,10.216096681351768,,,4.322009093660064
boundary,0.09423520982230928,0.22880590983727686,0.18663784436021474,boundary_reset,0.0012847,,,,0.08033979532891587,60.76057337982047,1.0,0.32233432868444906,0.0020061719167105622,0.07014790346382697,hedge__carry,1000,,,0.193143380604086,0.09980880894077648,26,carry,24.159748388889895,,,12.524321904078857
boundary,0.056264955983676763,0.21207177823538598,0.1527791225581824,boundary_reset,0.0002529,,,,0.056192813985007445,26.547523889264426,1.0,0.4000517562358578,-0.0009207831985802479,0.04168087884707325,passive_aggressive__carry,1000,,,0.15537461229077076,0.07646075418620518,26,carry,15.780694900900173,,,8.760003534524246
