analysis,cold_start_rmse,cvar_05,cvar_15,dataset,fit_and_test_seconds,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,seed,setting,smape,solve_seconds,tau,wape
boundary,0.10112852371976694,0.10826042743966507,0.0739044283443206,boundary_reset,,0.08968300000000001,0.001,cholesky,0.02709744730064415,15.72251769995446,1.0,0.33888600127558655,-0.0008935505689592102,0.02058126818338644,adaptive_ridge__reset,1000,210,quadratic,0.07103622661254437,0.03888776883859856,20,reset,9.33765354990548,0.0043756,2,4.234446436269615
boundary,0.22603081554127585,0.2639226869323069,0.13299938520982246,boundary_reset,0.0085684,,,,0.03376676409029728,34.40732753417423,1.0,0.6346504435698248,-0.0035457503470008077,0.016571527341886355,rls__reset,1000,,,0.10790336163345768,0.07231143536502452,20,reset,11.844234569737814,,,5.276642935407321
boundary,0.16685695223907696,0.27780174989009043,0.22401982571827206,boundary_reset,0.0023722,,,,0.09897027647156934,56.13609056720453,1.0,0.4436467770975787,-0.0012366506878445942,0.08693900092770236,hedge__reset,1000,,,0.2291032957842583,0.12218573794470905,20,reset,28.342417537433544,,,15.465823398490127
boundary,0.11176286070171525,0.2561711257650832,0.18105348301719174,boundary_reset,0.0003071,,,,0.06253903851868572,27.292987108170642,1.0,0.5443972634679536,-0.0025950108896073023,0.043380170012525754,passive_aggressive__reset,1000,,,0.1866762993981636,0.0886217335857107,20,reset,18.576589194120665,,,9.772810178207518
boundary,0.07835592884756502,0.10503377040397971,0.07256770729694081,boundary_borrow,,0.0159488,0.001,cholesky,0.027076034534405775,15.813145802324366,1.0,0.3442189236499215,-0.0006348627047660896,0.02100220846287895,adaptive_ridge__borrow_across_events,1000,210,quadratic,0.07071136716097025,0.038161169530781344,20,borrow_across_events,9.11923366888713,0.0039171,2,4.231100319911024
boundary,0.15247873521980876,0.24544732179110682,0.12138926131052571,boundary_reset,0.0033074,,,,0.03129127478665426,16.489078940885502,1.0,0.6351992213690232,-0.004017041924142972,0.016028241962619094,rls__carry,1000,,,0.09412675521755344,0.06775591453071701,20,carry,10.522012142537308,,,4.889804767828875
boundary,0.14399313527138893,0.27705841544142473,0.22287529952726065,boundary_reset,0.001064,,,,0.09814498326726649,52.06513159773045,1.0,0.4436467770975787,-0.0019138513201156409,0.08648716793532406,hedge__carry,1000,,,0.22692541156880067,0.12127695386227987,20,carry,27.9144671800247,,,15.336857011765032
boundary,0.07687756317506698,0.2700886116342478,0.18637462082112963,boundary_reset,0.0002632,,,,0.06294764980731003,23.45121564321115,1.0,0.5371702788366847,-0.0024849873561968014,0.04296447446079922,passive_aggressive__carry,1000,,,0.19429524972687426,0.09047042759856047,20,carry,17.94510563508042,,,9.836662783795706
