analysis,cold_start_rmse,cvar_05,cvar_15,dataset,fit_and_test_seconds,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,seed,setting,smape,solve_seconds,tau,wape
boundary,0.07405798552423105,0.0884593979100115,0.06489789388895519,boundary_reset,,0.025622,0.0,cholesky,0.026082090190924154,10.717318994609485,1.0,0.3306336646330068,0.003941192882576079,0.020859419168974408,adaptive_ridge__reset,1000,210,quadratic,0.06258413452664022,0.03498820088008554,11,reset,9.007029348248823,0.0042842,2,4.072535907056276
boundary,0.16536634004087772,0.19163869474794568,0.11063233856096621,boundary_reset,0.0094825,,,,0.03387576921771284,16.8962945548546,1.0,0.48287704589407704,0.0012992228099066871,0.0210558009455305,rls__reset,1000,,,0.09549954233497139,0.05749410790848166,11,reset,12.108683466981812,,,5.289464360731856
boundary,0.1264912488856658,0.2341992615707837,0.18818701837715673,boundary_reset,0.0022497,,,,0.0790241171130091,34.167659503198244,1.0,0.3557657012841213,0.043752151365599984,0.06626340308925005,hedge__reset,1000,,,0.1988987274374263,0.09973002099203328,11,reset,24.450753027940603,,,12.339063016434833
boundary,0.20239268733813542,0.25192798512367964,0.1902522990084397,boundary_reset,0.0002959,,,,0.07062411503780687,30.900585191520285,1.0,0.4841294470685258,0.009661951292956033,0.05444674104266145,passive_aggressive__reset,1000,,,0.19562229344519197,0.09493845895925773,11,reset,21.89753988113965,,,11.027461460723924
boundary,0.04496043210669406,0.09064794531111002,0.06736834080934653,boundary_borrow,,0.0058814,0.0,cholesky,0.026838449147870532,11.357890886737422,1.0,0.21055912459026271,0.0034994289002256602,0.02159712624828842,adaptive_ridge__borrow_across_events,1000,110,quadratic,0.07070015806893758,0.03494366671604546,11,borrow_across_events,9.646394568639234,0.0008943,1,4.190636066523542
boundary,0.1040551706811986,0.1763415758042355,0.10332808453694144,boundary_reset,0.0103228,,,,0.03237739762501997,14.507287842710042,1.0,0.48287704589405256,0.0021459038272572213,0.020412203835525417,rls__carry,1000,,,0.09122600385091602,0.054166840222888125,11,carry,11.531557609342618,,,5.055504119482547
boundary,0.10881454811091285,0.23419467074642752,0.18728666121839077,boundary_reset,0.0019504,,,,0.07851745719026054,33.575962771604736,1.0,0.35576570128412155,0.04341772632183112,0.06607961568338966,hedge__carry,1000,,,0.19832084384186247,0.09918787033738377,11,carry,24.178100490684443,,,12.259951614206114
boundary,0.18255969045558887,0.2534896740790052,0.1942914138046682,boundary_reset,0.0003087,,,,0.07320007609910803,30.87523282338736,1.0,0.4841294470685258,0.009375777811326919,0.05536292997308628,passive_aggressive__carry,1000,,,0.20148200207677633,0.09716264997414657,11,carry,22.31098179599622,,,11.429679758434519
