threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,3;5;6;7;9;10,6,0.02604036291366978,1,0.001,0.99,30
0.9,4;5;6;7;9;10,6,0.024237044115857777,1,0.001,0.99,30
0.95,3;4;5;6;7;9;10,7,0.029823723492541972,1,0.001,0.99,30
0.99,1;2;3;4;5;6;7;8;9;10,10,0.021381527156993298,1,0.0,0.99,30
1.0,1;2;3;4;5;6;7;8;9;10,10,0.021381527156993298,1,0.0,0.99,30
