threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;2;4;5;6;7;10,7,0.02330332828707306,3,0.0,0.5,27
0.9,1;2;3;4;5;6;7;8;10,9,0.020230723278776962,2,0.0,0.5,27
0.95,1;2;3;4;5;6;7;8;10,9,0.020230723278776962,2,0.0,0.5,27
0.99,1;2;3;4;5;6;7;8;9;10,10,0.01896713445446798,1,0.0,0.5,27
1.0,1;2;3;4;5;6;7;8;9;10,10,0.01896713445446798,1,0.0,0.5,27
