cvar_05,cvar_15,dataset,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,smape,solve_seconds,tau,wape,fit_and_test_seconds,analysis,setting,seed,condition_number,theta_l2,max_abs_weight,mean_weight_l2,selected_count,selected_members,selected_threshold
0.05532444119207335,0.04169304468477881,synthetic_recurring,0.1520674,0.0001,cholesky,0.0168813933468549,7.8180486514753635,1.0,0.12096910951810473,0.0004346631428553146,0.013539087728660443,adaptive_ridge,1000,210,quadratic,0.04066789345232778,0.021805108557973393,6.153506888814311,0.0045675,2,2.64974367585053,,correlation,0.25,9,1.8346959840359152e6,1.8375147409712478,1.2894725018397701,0.7924057594111397,,,
0.16603669143191632,0.130543511393661,synthetic_recurring,0.0001329,0.001,,0.05536842676464218,30.255635216623883,1.0,0.2304910906547073,0.005046491388843546,0.04809731999550293,static_ridge,1000,,,0.1386989588406872,0.06929871014602024,16.771194010763924,,,8.6907600366256,,correlation,0.25,9,NaN,NaN,NaN,NaN,,,
0.15481630948020375,0.07947621836893734,synthetic_recurring,,,,0.02141705973803922,12.132176409577147,1.0,0.38943182962109035,-0.001107660595329997,0.011918488114665338,rolling_ridge,1000,,,0.060344113086524,0.042957212576376684,7.245654049181392,,,3.361672667070175,0.0043027,correlation,0.25,9,NaN,NaN,1.0727511212253031,0.8178992677988209,,,
0.15183809686207958,0.0804648884403782,synthetic_recurring,,,,0.021460738340456188,13.175183971573082,1.0,0.44806257252970183,-0.0003270030691524699,0.011524251269167507,rls,1000,,,0.062427717020783736,0.04348618392811325,7.060327713753838,,,3.368528564456508,0.0121356,correlation,0.25,9,NaN,NaN,1.196994497211313,0.8545515428618383,,,
0.8652206367023766,0.5298384324386393,synthetic_recurring,,,,0.15630522186203172,119.62684598356965,1.0,2.0227951980346073,0.09361167395064328,0.059744021617072984,exp3,1000,,,0.5450658384319055,0.2616652165343287,35.761896478621274,,,24.534039615189382,0.0025592,correlation,0.25,9,NaN,NaN,0.675801381941672,0.6665910490185195,,,
0.16674554971468716,0.1266160621146675,synthetic_recurring,,,,0.05174862888918966,29.66042610156639,1.0,0.2962334460507881,0.001926788119602424,0.04128829921085958,passive_aggressive,1000,,,0.13202106118362705,0.06594578525595006,16.42839263448555,,,8.12258794731613,0.0002998,correlation,0.25,9,NaN,NaN,0.62133106293966,0.6422273324103248,,,
0.4020707659399261,0.3443734703340386,synthetic_recurring,,,,0.15933915518972036,79.22387793485765,1.0,0.5763407482615759,0.1032717888767998,0.14322166857522667,ensemble_mean,1000,,,0.35995751151216426,0.19160467200505601,39.9985415112908,,,25.01025301077932,,correlation,0.25,9,NaN,NaN,NaN,NaN,,,
0.05532444119207335,0.04169304468477881,synthetic_recurring_pruned,,,,0.0168813933468549,7.8180486514753635,1.0,0.12096910951810473,0.0004346631428553146,0.013539087728660443,adaptive_ridge_pruned,1000,,,0.04066789345232778,0.021805108557973393,6.153506888814311,,,2.64974367585053,,correlation,0.25,9,1.8346959840359152e6,1.8375147409712478,,,10,1;2;3;4;5;6;7;8;9;10,0.8
