threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;2;3;4;5;6;7;8;10,9,0.015893115076440357,1,0.0,0.25,5
0.9,1;2;3;4;5;6;7;8;10,9,0.015893115076440357,1,0.0,0.25,5
0.95,1;2;3;4;5;6;7;8;10,9,0.015893115076440357,1,0.0,0.25,5
0.99,1;2;3;4;5;6;7;8;9;10,10,0.015194297648301318,1,1.0e-6,0.25,5
1.0,1;2;3;4;5;6;7;8;9;10,10,0.015194297648301318,1,1.0e-6,0.25,5
