threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,3;7;8,3,0.028412778772375732,1,0.0001,0.99,6
0.9,3;7;8;10,4,0.008656228027753763,1,0.0,0.99,6
0.95,2;3;7;8;9,5,0.011069835048559018,1,0.0,0.99,6
0.99,1;2;3;4;5;7;8;9;10,9,0.00937696346668645,1,0.0,0.99,6
1.0,1;2;3;4;5;6;7;8;9;10,10,0.01007501870430129,1,0.0,0.99,6
