threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,1;2;5;6;9;10,6,0.022850681417175726,1,0.0,0.75,13
0.9,1;2;5;6;7;9;10,7,0.019164256736944014,1,0.0,0.75,13
0.95,1;2;3;4;5;6;7;9;10,9,0.008337478148474091,1,0.0,0.75,13
0.99,1;2;3;4;5;6;7;8;9;10,10,0.004575404213526806,1,0.0,0.75,13
1.0,1;2;3;4;5;6;7;8;9;10,10,0.004575404213526806,1,0.0,0.75,13
