threshold,selected_members,selected_count,validation_score,tau,lambda,rho,seed
0.8,4;5;6;7;10,5,0.033241984524163375,5,0.0,0.9,2
0.9,2;4;5;6;7;10,6,0.028564699700954196,5,0.0,0.9,2
0.95,1;2;4;5;6;7;9;10,8,0.02838192950495144,5,0.0,0.9,2
0.99,1;2;3;4;5;6;7;8;9;10,10,0.019964934783720065,1,1.0e-6,0.9,2
1.0,1;2;3;4;5;6;7;8;9;10,10,0.019964934783720065,1,1.0e-6,0.9,2
