analysis,cold_start_rmse,cvar_05,cvar_15,dataset,fit_and_test_seconds,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,seed,setting,smape,solve_seconds,tau,wape
boundary,0.02376338652476012,0.05074158601556391,0.03853503764972664,boundary_reset,,0.0200468,0.0001,cholesky,0.014339475577205968,5.051198518392783,1.0,0.11125116526383771,0.0014979864172667767,0.011137874396407912,adaptive_ridge__reset,1000,110,quadratic,0.03857736566236755,0.019325492073478077,4,reset,4.957630004298485,0.0008384,1,2.2289120826431446
boundary,0.050845212501176414,0.1110637729340827,0.08735691582551822,boundary_reset,0.0202099,,,,0.03212124046334689,12.088558270892195,1.0,0.18029023522376053,0.004270001670802969,0.022242100793635866,rls__reset,1000,,,0.0921474187723941,0.04350674500935601,4,reset,9.810614305987233,,,4.992889774298849
boundary,0.08956065646221259,0.16331540908643782,0.13327801763883282,boundary_reset,0.0010678,,,,0.0567677589329436,26.651044851098494,1.0,0.22852410640058451,-0.009926191120976566,0.04866217418287963,hedge__reset,1000,,,0.1383193930053737,0.07084926816729527,4,reset,17.50994929597525,,,8.823917102752624
boundary,0.05374552567442782,0.1234505635244986,0.09408539258589152,boundary_reset,0.0002695,,,,0.03409144191845502,12.494999010152451,1.0,0.22392189676525742,0.001317177164097009,0.02429063510832885,passive_aggressive__reset,1000,,,0.09714474799086448,0.04659853492562611,4,reset,10.602523446115125,,,5.2991356899801865
boundary,0.027886023648279218,0.053414677754137455,0.0399766940139191,boundary_borrow,,0.0054887,0.0001,cholesky,0.014646634151022943,5.160625442843017,1.0,0.10961298347094561,0.001703636098125513,0.011048556283610955,adaptive_ridge__borrow_across_events,1000,110,quadratic,0.04052126860135444,0.019880504480232205,4,borrow_across_events,5.065978446607304,0.0008505,1,2.2766564686063506
boundary,0.04920380163309427,0.10493928491111705,0.07619137329762142,boundary_reset,0.0106129,,,,0.02543310442859185,9.638770055445898,1.0,0.19695325379125517,0.002438192699012756,0.016469673444288076,rls__carry,1000,,,0.0788703535617585,0.03670934395657785,4,carry,8.348653576656801,,,3.953293372187525
boundary,0.06640131957767823,0.16142551423321497,0.1318092676840754,boundary_reset,0.0019649,,,,0.05633652522356889,25.893777379803122,1.0,0.22852410640058451,-0.01049722751034805,0.04850765134884355,hedge__carry,1000,,,0.13651742243516715,0.07020322013160081,4,carry,17.55755272605133,,,8.756886616170798
boundary,0.047810326197942954,0.12442802665598254,0.09576450562546944,boundary_reset,0.0006876,,,,0.03527609227372261,12.028857837082443,1.0,0.22392189676525742,0.001619981551136458,0.02497927807547158,passive_aggressive__carry,1000,,,0.09882241708543775,0.047840685394563084,4,carry,10.457887998045834,,,5.483276419279989
