sweep_setting,reference,method,metric,n,interval_available,mean_method_minus_reference,ci_low,ci_high,method_win_rate,reference_win_rate,tie_rate
members=3.0,adaptive_ridge,static_ridge,rmse,30,true,0.010870523393778043,0.004462447894048859,0.017278598893507226,0.23333333333333334,0.7666666666666667,0.0
members=3.0,adaptive_ridge,rls,rmse,30,true,-0.04122996811739361,-0.0501374066340419,-0.03232252960074532,1.0,0.0,0.0
members=3.0,adaptive_ridge,hedge,rmse,30,true,0.0542073530383613,0.04053395297556245,0.06788075310116015,0.0,1.0,0.0
members=3.0,adaptive_ridge,exp3,rmse,30,true,0.17985967516997975,0.14927823245048838,0.21044111788947112,0.0,1.0,0.0
members=3.0,adaptive_ridge,fixed_share,rmse,30,true,0.02533669420416511,0.017987406750416095,0.03268598165791412,0.06666666666666667,0.9333333333333333,0.0
members=3.0,adaptive_ridge,passive_aggressive,rmse,30,true,0.06566977046165742,0.02360936681856976,0.10773017410474509,0.0,1.0,0.0
members=3.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.104654935847699,0.07648552918337848,0.13282434251201952,0.0,1.0,0.0
members=3.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.1380901337912467,0.11215478371285564,0.16402548386963778,0.0,1.0,0.0
members=3.0,adaptive_ridge,validation_best_member,rmse,30,true,0.15159839611075304,0.11773688571527555,0.18545990650623054,0.0,1.0,0.0
members=6.0,adaptive_ridge,static_ridge,rmse,30,true,-0.00010146375586330367,-0.007088765971100257,0.006885838459373649,0.5333333333333333,0.4666666666666667,0.0
members=6.0,adaptive_ridge,rls,rmse,30,true,-0.027720633926224727,-0.03706802357843205,-0.018373244274017403,1.0,0.0,0.0
members=6.0,adaptive_ridge,hedge,rmse,30,true,0.05713389141365331,0.04070092582876046,0.07356685699854616,0.0,1.0,0.0
members=6.0,adaptive_ridge,exp3,rmse,30,true,0.22855254554768428,0.19326497851361593,0.26384011258175266,0.0,1.0,0.0
members=6.0,adaptive_ridge,fixed_share,rmse,30,true,0.02259805848809472,0.010311797488277107,0.03488431948791233,0.13333333333333333,0.8666666666666667,0.0
members=6.0,adaptive_ridge,passive_aggressive,rmse,30,true,-0.014733700206037351,-0.024088572627687665,-0.005378827784387037,0.7333333333333333,0.26666666666666666,0.0
members=6.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.11007594056204177,0.08114671461172396,0.13900516651235958,0.0,1.0,0.0
members=6.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.15126539178057655,0.11800632123343674,0.18452446232771635,0.06666666666666667,0.9333333333333333,0.0
members=6.0,adaptive_ridge,validation_best_member,rmse,30,true,0.15989700764764195,0.12437248635286496,0.19542152894241893,0.06666666666666667,0.9333333333333333,0.0
members=10.0,adaptive_ridge,static_ridge,rmse,30,true,-0.0035314211663729405,-0.0066645027123673605,-0.00039833962037852,0.8333333333333334,0.16666666666666666,0.0
members=10.0,adaptive_ridge,rls,rmse,30,true,-0.015222702355904965,-0.016996516954728907,-0.013448887757081023,1.0,0.0,0.0
members=10.0,adaptive_ridge,hedge,rmse,30,true,0.04392221518208734,0.027977114511573538,0.05986731585260114,0.06666666666666667,0.9333333333333333,0.0
members=10.0,adaptive_ridge,exp3,rmse,30,true,0.2860826190239114,0.2614980250313567,0.3106672130164661,0.0,1.0,0.0
members=10.0,adaptive_ridge,fixed_share,rmse,30,true,0.024827158951088897,0.014727191346481433,0.03492712655569636,0.06666666666666667,0.9333333333333333,0.0
members=10.0,adaptive_ridge,passive_aggressive,rmse,30,true,-0.012567325131507818,-0.015088115249574898,-0.010046535013440737,1.0,0.0,0.0
members=10.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.07220203706732173,0.04849587842856439,0.09590819570607906,0.03333333333333333,0.9666666666666667,0.0
members=10.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.15405416923967552,0.12888375574537497,0.17922458273397607,0.0,1.0,0.0
