cvar_05,cvar_15,dataset,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,smape,solve_seconds,tau,wape,fit_and_test_seconds,diagnostic_only,oracle_member_index,oracle_standardized_rmse,selected_member_index
1.837558969815793,1.3408504438780984,safi,0.132497,0.0,cholesky,0.4955399864060908,15.521580253298781,1.0,4.497439072912304,-0.043789700365565905,0.3660112118830523,adaptive_ridge,2548,42,quadratic,1.3590025815827484,0.67146268348895,14.812288807859593,0.0001636,1,12.76001693579381,,,,,
1.837558969815793,1.3408504438780984,safi,0.0054082,0.0,irls+cholesky,0.4955399864060908,15.521580253298781,1.0,4.497439072912304,-0.043789700365565905,0.3660112118830523,adaptive_robust_norm,2548,42,norm_irls,1.3590025815827484,0.67146268348895,14.812288807859593,0.0002346,1,12.76001693579381,,,,,
2.0274249353195244,1.418062274953069,safi,0.0001751,0.001,,0.5213013651483563,16.733664959352144,1.0,4.137485014885366,-0.02861740751755708,0.3884936806871131,static_ridge,2548,,,1.3858868123549852,0.7182319095577249,15.315574846099754,,,13.423365279132804,,,,,
1.91011619099399,1.3820958448298604,safi,,,,0.5119091697138007,16.21436913333901,1.0,4.625987861965637,-0.001543410136240541,0.39649239236111766,rolling_ridge,2548,,,1.400914515746642,0.6940166692811298,15.01209876191836,,,13.181518856852353,0.0171429,,,,
1.8317808839365368,1.348969208846129,safi,,,,0.5049911086859472,16.054031322585345,1.0,4.0022830398619496,0.0011789148825955905,0.38831465261837683,rls,2548,,,1.3560668113708954,0.6781382011060801,14.843767924222364,,,13.003380707964556,0.0044712,,,,
2.1732630709103407,1.4956835719126627,safi,,,,0.5423759269569592,17.1879240349245,1.0,5.262973341865813,-0.02361894035413387,0.4097609825049431,hedge,2548,,,1.459240473513416,0.7587849667669907,16.08408042687755,,,13.966029388930464,0.0022261,,,,
2.2957004988614216,1.501653702491603,safi,,,,0.5235819616588582,16.47876315315472,1.0,5.4803133903133885,-0.025246920091921712,0.3777664518937591,exp3,2548,,,1.4166216225262964,0.7717396467410669,15.712240129652915,,,13.482090005483883,0.0025362,,,,
1.9362959787464218,1.346492630270951,safi,,,,0.49276905158170925,15.754542880647621,1.0,5.195521752323452,-0.0019500272757735834,0.36310339937906577,fixed_share,2548,,,1.32541100449032,0.6877551589476738,14.660040988529877,,,12.688666134128908,0.003615,,,,
1.9581499544397072,1.3830914858040635,safi,,,,0.504818409130497,15.770445866326071,1.0,4.365890702403549,-0.028297933154548732,0.38576871760285836,passive_aggressive,2548,,,1.3946399217199001,0.6924249459228873,15.01112688300836,,,12.998933742406173,0.0005261,,,,
2.041757327826509,1.4085372840629193,safi,,,,0.5054412382502121,15.986225024921152,1.0,5.156910289572563,0.0285798248366551,0.3689425774581536,dma,2548,,,1.4182476932038486,0.7064280092554995,14.771872530022868,,,13.014971419150099,0.0025252,,,,
1.7726493185108232,1.2867160546585215,safi,2.0455733,,,0.4789967692928859,15.383782032376706,1.0,4.338474454310811,0.004376452616928146,0.35620954726402765,neural_gate,2548,,,1.3177873574258463,0.6496261138121754,14.231867082806229,,1,12.33403369260903,,,,,
1.7624303559131411,1.2966078024457333,safi,20.9467512,,,0.4854854431224919,15.569496855124967,1.0,3.587263050021242,-0.05155814269988089,0.37806786897770017,boosted_meta,2548,,,1.3259735356299003,0.6527405194139326,14.470321777375103,,5,12.501115240471778,,,,,
2.2716424835143663,1.5234816463472316,safi,,,,0.5527147127653641,17.44792375284384,1.0,5.1507789607047325,-0.04448825493629014,0.4179784248347078,ensemble_mean,2548,,,1.4505440220223802,0.783111332324213,16.498025291395255,,,14.232250250273188,,,,,
2.2682261512732373,1.4623191161019409,safi,,,,0.506802798942373,15.869164865354193,1.0,5.153360033333334,-0.028522468532254784,0.3580748000000009,oracle_best_member,2548,,,1.3725483499999998,0.7561719149083809,15.126701818591714,,,13.050031228585633,,true,2,0.43073803009795186,
2.2682261512732373,1.4623191161019409,safi,,,,0.506802798942373,15.869164865354193,1.0,5.153360033333334,-0.028522468532254784,0.3580748000000009,validation_best_member,2548,,,1.3725483499999998,0.7561719149083809,15.126701818591714,,,13.050031228585633,,,,,2
