cvar_05_ci_high,cvar_05_ci_low,cvar_05_mean,cvar_05_sd,cvar_05_se,cvar_15_ci_high,cvar_15_ci_low,cvar_15_mean,cvar_15_sd,cvar_15_se,mae_ci_high,mae_ci_low,mae_mean,mae_sd,mae_se,method,replications,rmse_ci_high,rmse_ci_low,rmse_mean,rmse_sd,rmse_se,setting,sweep
0.5991353388720347,0.48550132785179445,0.5423183333619146,0.15215873526719076,0.027780257209099078,0.49103895141862935,0.3945965471868433,0.4428177493027363,0.12913875099790253,0.023577402323198,0.210702485549147,0.1669928517129987,0.18884766863107286,0.05852827462295335,0.01068575208761624,adaptive_ridge,30,0.26218554394690874,0.2092156019581047,0.23570057295250674,0.0709280549707717,0.012949631889152696,3.0,members
0.6122433080808081,0.49963241794747154,0.5559378630141398,0.15078875123882624,0.027530133490513396,0.5055798168545899,0.40886387942359936,0.4572218481390946,0.12950501867842235,0.0236442733467666,0.2235508788412769,0.17496885220984487,0.19925986552556088,0.06505252839872903,0.011876912408909772,static_ridge,30,0.2747664771773719,0.21837571551519783,0.24657109634628488,0.07550861663891877,0.013785924206381908,3.0,members
0.5538876559612484,0.43556168236973664,0.49472466916549257,0.15844138853583672,0.028927307514506066,0.42287857846950505,0.3398145923958328,0.3813465854326689,0.11122472007936324,0.02030676271322168,0.16246678614262583,0.1355132477421478,0.1489900169423868,0.03609145076522818,0.006589367239067521,rls,30,0.21387918962470884,0.1750620200455175,0.19447060483511316,0.05197714466639559,0.009489684869498066,3.0,members
0.6890594474015053,0.5789167075845798,0.6339880774930425,0.14748383726788894,0.02692674151301462,0.5720750475159573,0.47743768802063696,0.5247563677682971,0.12672175170574165,0.02313612064526782,0.2663468831134665,0.2121473955171954,0.23924713931533093,0.07257444677640984,0.013250220532632586,hedge,30,0.31951339296405556,0.26030245901768057,0.28990792599086807,0.07928489668172359,0.014475375460682166,3.0,members
1.0497082595747065,0.8708275738061348,0.9602679166904207,0.23952563731491924,0.04373119821939414,0.8425747314048994,0.6816436470592234,0.7621091892320614,0.21549067958935322,0.039343035381068946,0.37596218069938553,0.29561265832438605,0.3357874195118858,0.1075899864321881,0.019643154176861397,exp3,30,0.46152342754189696,0.369597068703076,0.4155602481224865,0.12309165515720044,0.022473358723415264,3.0,members
0.6588203168549119,0.5323081026635973,0.5955642097592546,0.16940296601669372,0.030928608598541407,0.5409651781736922,0.4320775493394979,0.48652136375659505,0.14580321279606323,0.026619902868376573,0.23667798380746463,0.18375109136934004,0.21021453758840233,0.07087041056372852,0.012939107508468842,fixed_share,30,0.29220193730592414,0.22987259700741966,0.2610372671566719,0.0834605194757186,0.015237736392650105,3.0,members
1.0480912703390992,0.6758659421384459,0.8619786062387725,0.49841886830289084,0.09099841908522999,0.6864943014412437,0.48107504927493827,0.583784675358091,0.27506143036339564,0.05021911670322274,0.22209740162171246,0.17289388463519326,0.19749564312845286,0.0658847192680101,0.012028848979328129,passive_aggressive,30,0.36099082107196057,0.24174986575636773,0.30137034341416413,0.15966657156580086,0.029150994308700693,3.0,members
0.761515766717268,0.660318158299147,0.7109169625082075,0.13550608634436925,0.02473991339001793,0.6423377253454341,0.5512427077470954,0.5967902165462647,0.12197846879167902,0.022270119629047506,0.3193976207329542,0.2561139481622625,0.28775578444760835,0.08473839385731366,0.015471043267469299,ensemble_mean,30,0.3724404612225922,0.3082705563778194,0.3403555088002058,0.08592508066671573,0.01568770164553708,3.0,members
0.9467693412737297,0.7422234070376796,0.8444963741557047,0.2738920361779684,0.05000561551189812,0.7732412491385847,0.6087332800468996,0.6909872645927422,0.2202802162277487,0.04021748113335117,0.33699226785218095,0.2693851013592743,0.3031886846057276,0.0905276585434159,0.016528013554118055,oracle_best_member,30,0.41651558304996816,0.331065830437539,0.3737907067437536,0.11441932014602266,0.020890014219460636,3.0,members
0.9454158453757551,0.7449498112140853,0.8451828282949202,0.2684289496446274,0.049008196935926916,0.7826639764711788,0.6151508417873944,0.6989074091292866,0.22430420685922287,0.04095215794670046,0.364307249415111,0.2756179412083373,0.31996259531172416,0.1187571647546709,0.02168199266716357,validation_best_member,30,0.4373179794016866,0.3372799587248332,0.3872989690632599,0.13395336984199058,0.02445642743876349,3.0,members
0.3844372501033719,0.31731347632534396,0.3508753632143579,0.08988038381049966,0.016409837896744266,0.3087764735450368,0.2559174429532509,0.28234695824914385,0.07077954188260832,0.012922517232995416,0.13044077066537454,0.10788086747105795,0.11916081906821624,0.030208265174992747,0.005515249419813757,adaptive_ridge,30,0.16350846575640604,0.13541623402195757,0.1494623498891818,0.0376161891423964,0.006867745106890473,6.0,members
0.3828009975555244,0.3167769799452487,0.34978898875038655,0.08840778325644838,0.016140979049528104,0.3072995178661966,0.254711682976999,0.2810056004215978,0.07041640416754197,0.012856217660321174,0.1304653396804431,0.10811735029971462,0.11929134499007886,0.029924507367169974,0.005463442569076174,static_ridge,30,0.16338537546993417,0.1353363967967028,0.1493608861333185,0.037558272229738454,0.006857170973715868,6.0,members
0.31978601010834184,0.26594268704269053,0.2928643485755162,0.07209753371103825,0.013163148518008266,0.2526227597929241,0.21250835025984086,0.2325655550263825,0.05371418086664999,0.00980682283952553,0.10389257694618742,0.0880966957841241,0.09599463636515576,0.02115107333157758,0.003861639993050329,rls,30,0.13199023216444056,0.11149319976147368,0.12174171596295712,0.02744603045483057,0.005010936664694826,6.0,members
0.480346992842856,0.4095135202982665,0.44493025657056123,0.09484776168860445,0.017316752868574314,0.40131491783982465,0.33836688008559934,0.369840898962712,0.08428897058406443,0.015388990179260494,0.1923817186834345,0.15140478766082072,0.1718932531721276,0.054869118352438156,0.010017684610683692,hedge,30,0.22795864553597545,0.18523383706969476,0.2065962413028351,0.05720956923367155,0.010444990524811815,6.0,members
0.9954458113659826,0.8639737303563831,0.9297097708611829,0.17604434966044716,0.032141153810117944,0.7544186065817803,0.637146375681186,0.6957824911314832,0.15703040115883993,0.028669697642927334,0.33479894130040144,0.26936775440213934,0.3020833478512704,0.08761396835404674,0.01599604894001839,exp3,30,0.4116652249839765,0.3443645658897557,0.3780148954368661,0.09011723759888224,0.016453081284320166,6.0,members
0.4274527436612764,0.35429607844691235,0.3908744110540944,0.09795857380586698,0.017884706858169345,0.34954238142573407,0.28977860578951203,0.31966049360762305,0.08002516530002579,0.014610529400967933,0.15299675221801035,0.12491259345483292,0.13895467283642163,0.03760537923533229,0.0068657714969092894,fixed_share,30,0.18866158975203187,0.15545922700252116,0.1720604083772765,0.04445878024096306,0.008117025605713478,6.0,members
0.38481250863607785,0.303219468173335,0.34401598840470643,0.10925508773253037,0.019947158691104278,0.28860336049272667,0.23414211510373045,0.26137273779822856,0.07292494689807055,0.013314212806979878,0.1122352542914673,0.09387309160287702,0.10305417294717216,0.02458738740612297,0.004489022237483996,passive_aggressive,30,0.14816371194061848,0.12129358742567051,0.1347286496831445,0.035979757521171864,0.006568974935970663,6.0,members
0.5645539331343722,0.4695727494458687,0.5170633412901204,0.1271821407558096,0.023220175801251353,0.48446838590766295,0.3949614397995511,0.43971491285360703,0.11985200201208288,0.02188188168805745,0.2611227136815071,0.18853150562553556,0.22482710965352132,0.09720141276494008,0.017746468797576093,ensemble_mean,30,0.2950996473518553,0.22397693355059195,0.2595382904512236,0.0952350628443716,0.017387464061761476,6.0,members
0.714670797965707,0.5707189316211541,0.6426948647934305,0.19275508912941056,0.03519210346336566,0.5886193295984523,0.4746790916797974,0.5316492106391248,0.15256878061496312,0.02785512090462407,0.2813270987556012,0.22134410411159713,0.2513356014335992,0.08031870494252515,0.014664122162207567,oracle_best_member,30,0.333239232438667,0.26821625090084983,0.3007277416697584,0.08706737133774047,0.0158962544347864,6.0,members
0.7312340913120118,0.5705466652773027,0.6508903782946572,0.21516441511887321,0.039283467911004157,0.6026736726448898,0.47727457595134487,0.5399741242981173,0.16791247431316442,0.03065648328927564,0.2920582537131977,0.22890591366923474,0.2604820836912162,0.08456253637426737,0.01543893623067912,validation_best_member,30,0.3439542256708033,0.2747644894028441,0.3093593575368237,0.09264675839109425,0.016914906483511117,6.0,members
0.27929552683788866,0.23857180335295686,0.25893366509542276,0.05453006723254984,0.009955782628513618,0.2246715122759002,0.19194895755645142,0.2083102349161758,0.04381630548917188,0.007999726300985624,0.09409096577862232,0.0805852938511553,0.08733812981488881,0.018084426845154225,0.0033017495075476516,adaptive_ridge,30,0.11849061601930279,0.10142314260706027,0.10995687931318153,0.022853766625826995,0.0041725078349747246,10.0,members
0.2679194286229273,0.2267548564011936,0.24733714251206046,0.05512037453257084,0.010063557503207442,0.21773212634746475,0.18371425950447506,0.2007231929259699,0.04555076027717658,0.008316392971773296,0.092265235846297,0.07759275238075633,0.08492899411352667,0.019646816189105364,0.003587001469976897,static_ridge,30,0.11550215194856424,0.09734876434505298,0.10642545814680861,0.02430783243296211,0.00443798271586301,10.0,members
0.24156751971082677,0.20480386746227505,0.2231856935865509,0.049227434460146484,0.008987658767309793,0.19397709281842135,0.1645566087746274,0.17926685079652438,0.039394751649265376,0.007192464708538831,0.08166091717474075,0.06918676782992969,0.07542384250233522,0.016703192739561307,0.003049571815271414,rls,30,0.10250441777465197,0.08696393613990117,0.09473417695727657,0.020809087083668142,0.003799202132271478,10.0,members
0.3581180482354286,0.3087389163407479,0.33342848228808825,0.06611987194879637,0.012071781788569613,0.29984551988752634,0.25353051023632683,0.2766880150619266,0.06201693691124757,0.01132269176455502,0.14299843175351615,0.11210897845354492,0.12755370510353053,0.04136173760848234,0.007551585568591853,hedge,30,0.16992040518543072,0.13783778380510692,0.15387909449526882,0.04295941901071055,0.007843280949827478,10.0,members
1.0762272001192164,0.9631104842895034,1.0196688422043598,0.1514660642856442,0.027653793368591646,0.8058112115365115,0.7054112579762617,0.7556112347563866,0.13443800687358662,0.024544909650232656,0.33499404523443266,0.278946453333084,0.3069702492837583,0.07504910388987175,0.013702029040343821,exp3,30,0.42498514400565174,0.36709385266853406,0.3960394983370929,0.07751786277500415,0.014152760683819928,10.0,members
