cvar_05,cvar_15,dataset,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,smape,solve_seconds,tau,wape,fit_and_test_seconds,diagnostic_only,oracle_member_index,oracle_standardized_rmse,selected_member_index,sweep,setting,seed
0.4686244132563972,0.3756330477877854,synthetic_gradual,0.0034371000000000002,0.01,cholesky,0.15833286786473805,139.24789889375566,1.0,0.7076011277142485,-0.07385737824419918,0.13466044857922127,adaptive_ridge,1000,48,quadratic,0.38037829062022044,0.1999055707573068,39.844032346770256,0.000178,5,24.590785025591117,,,,,,members,3.0,1
0.5283570787878726,0.4305804305773777,synthetic_gradual,5.45e-5,0.1,,0.18313744452078645,254.65934469863103,1.0,0.7826110068736543,-0.10623542842133935,0.1518571105051395,static_ridge,1000,,,0.4425739929604383,0.22822864020142286,45.419527354855276,,,28.44320063850585,,,,,,members,3.0,1
0.36019388407671743,0.29357114488113517,synthetic_gradual,,,,0.1258050146447273,167.7253642542158,1.0,0.6131132454063193,-0.025756295168787278,0.1101198973150943,rls,1000,,,0.2965853680703653,0.15749142181743175,34.43439603892427,,,19.538862094714887,0.0013354,,,,,members,3.0,1
0.5372799908961627,0.42703336322906493,synthetic_gradual,,,,0.17912778372513735,223.16086297702472,1.0,0.7426104132934146,-0.050254665076792764,0.1525308095276009,hedge,1000,,,0.4419482429441316,0.22452649184980605,41.726085010065894,,,27.82045750259815,0.0012049,,,,,members,3.0,1
0.9386699979143378,0.6061239811546881,synthetic_gradual,,,,0.21745135570353383,278.7577884894914,1.0,2.2067058721371198,-0.11315733560397984,0.16207289157145413,exp3,1000,,,0.5478089352034814,0.3135483503354838,49.54045586032764,,,33.77251744215916,0.0009774,,,,,members,3.0,1
0.4656966887373683,0.3757617597822514,synthetic_gradual,,,,0.15681750163255656,166.73571280408368,1.0,0.6034156172245885,-0.11138292761687733,0.12860427807148134,fixed_share,1000,,,0.386894482154673,0.19765006450741035,38.594931672373924,,,24.35543246896056,0.0008238,,,,,members,3.0,1
0.540910043053354,0.3888940185933915,synthetic_gradual,,,,0.1534891086847745,119.23756980949645,1.0,1.486898933640989,-0.002849604741813371,0.12240125305984743,passive_aggressive,1000,,,0.3809337347729063,0.20530583733518928,38.0488993091577,,,23.83849750426628,0.0002381,,,,,members,3.0,1
0.6294918482337001,0.5076283003257566,synthetic_gradual,,,,0.21214388001069795,180.04030785817574,1.0,0.8343722368755982,0.043565749894250654,0.17647394712777464,ensemble_mean,1000,,,0.5162485095727515,0.2670074918053515,47.706459116347055,,,32.948209794914526,,,,,,members,3.0,1
0.5307494522708415,0.4277611373991378,synthetic_gradual,,,,0.17961138889020234,161.41429106973405,1.0,0.6973457484406027,-0.13389761816195894,0.14896497158715108,oracle_best_member,1000,,,0.43634764480519217,0.22649658981840348,43.8531189209076,,,27.89556654857044,,true,3,0.22649658981840348,,members,3.0,1
0.5307494522708415,0.4277611373991378,synthetic_gradual,,,,0.17961138889020234,161.41429106973405,1.0,0.6973457484406027,-0.13389761816195894,0.14896497158715108,validation_best_member,1000,,,0.43634764480519217,0.22649658981840348,43.8531189209076,,,27.89556654857044,,,,,3,members,3.0,1
