,Ridge_Alpha_Beta_ensemble
469,4.325651526072459
470,4.915594034124029
471,4.821416346940672
472,4.841679616389729
473,4.851904371965824
474,4.814395936228979
475,4.678385003325762
476,4.710243824279275
477,4.514453707524963
478,4.309733765371778
479,4.486543789772969
480,4.519243486424167
481,5.170752164101823
482,5.05854788809816
483,4.59159031733227
484,4.198096713362106
485,3.9068379848522983
486,3.9133054701986425
487,3.7489093561736726
488,3.5144277482661237
489,3.421917159019732
490,3.593997241517909
491,4.0285775465069005
492,4.537611026618392
493,4.1531826285310345
494,3.8836071812967057
495,4.1451883727953
496,4.502728312119358
497,4.350077141466502
498,4.108172187629427
499,4.071425830919966
500,3.8089475938995108
501,3.563859126740301
502,3.044554087987985
503,2.1924413280292803
504,1.194812610253536
505,2.1512945736239
506,2.30408435738687
507,2.741601026363177
508,2.931520816454707
509,2.755345822932812
510,2.4392734347016405
511,2.4636092950182924
512,2.6201067343414755
513,2.0990977768450247
514,2.7024712735407315
515,2.838412144294324
516,3.173199423644343
517,3.367552556531086
518,3.4617845543877896
519,3.3801452465924453
520,3.4775820181219927
521,2.8354022517504585
522,3.048330716228792
523,3.2861871500534527
524,3.4485372543010997
525,3.254674407970324
526,2.8230061345871498
527,2.1983396654716167
528,2.068882567541052
529,2.314316431030986
530,2.5593853991635998
531,3.4761185208362404
532,3.6482896452479188
533,3.441706418334912
534,2.965531508712645
535,2.6639452846965863
536,2.351841970593549
537,2.2749635977946077
538,2.8994954637435675
539,2.948376460982067
540,2.876455497662462
541,3.3003148984643587
542,3.4742362051151767
543,3.60312514711064
544,3.7952648254974157
545,3.9759887533992653
546,4.241617910169514
547,4.400066386744917
548,4.28788960074336
549,4.007148175779849
550,3.9409577982535735
551,3.7539797509845734
552,3.8666282339312112
553,3.8580465586544306
554,3.384526849230082
555,3.190065001774622
556,3.332060937713748
557,3.7589435657450783
558,3.8633586763357
559,3.432758983138886
560,3.163976282543403
561,3.1040160663727603
562,3.379781198311045
563,3.7473862160132008
564,3.7529352562872536
565,3.856609767486892
566,3.9880153814364627
567,4.299863747463878
568,3.926300441520806
569,3.8848896251862386
570,3.880701331346752
571,4.352942364891386
572,4.554964878766827
573,4.511761588014496
574,4.3367306144586335
575,3.64994859718619
576,2.753459780494163
577,1.977374311324778
578,2.2516597471389224
579,3.1392494441813206
580,3.1124074328204645
581,3.613119806329694
582,3.8178485764705425
583,3.3040997908148824
584,2.9564518916929066
585,2.5773004667350525
586,2.7065487781677424
587,2.8124509750134146
588,3.190061846368207
589,3.4381455209096456
590,3.95788855056113
591,3.826413574857476
592,3.5701228741812874
593,3.766099334994218
594,3.86093474967569
595,4.05542970291922
596,3.9470880229334337
597,3.875998812440633
598,3.8867888086031126
599,3.729217150035902
600,3.7555217021548346
601,3.816144637166839
602,3.6514865156071465
603,3.808539027220048
604,4.177419045303123
605,4.433580288152547
606,4.170305689464997
607,3.394361193997484
608,3.2431642823760205
609,3.378289640202803
610,3.634004066487945
611,3.8453308779276347
612,4.118698213378591
613,4.402996620139056
614,4.704189290975948
615,4.858656355612975
616,4.355192999210985
617,3.728703466351335
618,3.9233818714511766
619,4.044892488102867
620,4.266016776032377
621,4.42467752785878
622,4.412795093399249
623,4.298846964315686
624,3.6211900283210143
625,3.2676428273245435
626,3.0849965452995
627,3.1010418701156746
628,3.1174890007759584
629,3.0808434707514265
630,2.9413969806860796
631,3.006779548497634
632,3.1674475584432717
633,3.306875662486889
634,3.8204283643048007
635,4.253044271871219
636,4.8674570986640875
637,4.721209933447191
638,4.185644352840923
639,4.574833475201535
640,4.517882886075841
641,4.590167346776731
642,4.495057748870699
643,4.922911098837029
644,4.909798416541285
645,4.609557182012786
646,4.7318153375612315
647,5.10980254680815
648,5.370929064914848
649,4.803459776665888
650,4.285124968560185
651,4.474636956995871
652,4.597386094868108
653,4.92458064141798
654,5.205024914812416
655,4.6234335784326905
656,4.632428286672445
657,4.449890463298807
658,4.638320901433577
659,4.812159129105755
660,4.913715861150907
661,4.79913321213692
662,4.741107817770885
663,4.707759802672428
664,4.236014582371289
665,3.824700803535289
666,4.080699357103116
667,4.650193919898755
668,4.941874930034828
669,5.269710618336203
670,5.503687930937228
671,5.562121541369534
672,5.829269159181799
673,5.8427168448202105
674,5.4374667451456125
675,5.083266979548173
676,5.134362445631072
677,5.53133386011912
678,5.812388496681208
679,5.638557677990766
680,5.296168902969025
681,4.857567132063356
682,4.606155520922184
683,4.560694722238756
684,4.364456289282627
685,3.9300096413591508
686,3.87035725958992
687,3.7646434320561557
688,3.8749488836721486
689,3.9037547561753825
690,3.9862712055446945
691,3.9910404785644213
692,4.056455740464781
693,3.958610313846782
694,3.795540630463722
695,4.45825868556042
696,4.965707769534909
697,5.202190851619213
698,5.171059095862409
699,5.57175153308708
700,5.945739792786767
701,5.571021352860188
702,5.145964841629181
703,4.533556866156984
704,4.131578155218077
705,3.521144508552709
706,3.359733557384793
707,3.2358904525960432
708,2.9762358248658827
709,2.5189669354573043
710,2.643587361895184
711,2.5384000169409555
712,2.7313984788572636
713,3.0647069577463752
714,3.0943097319215314
715,3.1157935421054064
716,3.088095351064805
717,2.758235461055482
718,2.2029372170988535
719,1.9651745498079203
720,1.8161646581434143
721,2.1580429662369225
722,2.8094578130172074
723,3.699573531413709
724,3.4776280158271886
725,3.7730824888560917
726,3.482850599127103
727,2.678053371924597
728,2.0481279607233844
729,1.6630022832943745
730,1.5097397217601605
731,1.7292387747304963
732,2.536539271423903
733,2.6654823691227985
734,3.0715880572199348
735,3.1501652818247843
736,3.181316307664503
737,3.4412930502714434
738,3.585783883776667
739,3.6535069921123715
740,3.8479618924362735
741,3.6713905766667385
742,3.932980734582449
743,3.4580995082472534
744,3.220276252075547
745,2.975092734430581
746,2.8587935013345707
747,3.134199175992149
748,3.2644061308416066
749,4.146732863345854
750,3.8678105210816023
751,4.109246371261653
752,3.7240959577476183
753,3.448328977270861
754,3.4965214691070283
755,3.691695645980217
756,4.179975800551674
757,4.423569707684804
758,4.538383463685377
759,4.690357657784901
760,4.594605462161969
761,4.548532883791842
762,3.883765418694216
763,3.640006390385711
764,3.3717767490190806
765,3.918408519086513
766,3.8094415584769115
767,3.111313891523437
768,2.635317354438402
769,2.3714322785860205
770,2.5457220376693543
771,3.1968130586017307
772,3.4748053098032496
773,3.8697410935940915
774,3.6748846274971294
775,3.4744739478141833
776,3.2897648023728796
777,3.1410112924746896
778,3.5118720582284326
779,3.8549073170219894
780,4.42656319617727
781,4.445388997536505
782,4.210334452953391
783,3.8043265370421513
784,3.1449132822218804
785,3.0375210198291307
786,3.378062606739149
787,3.699116928612006
788,4.1335210158415086
789,4.121246540363213
790,3.767668173435889
791,2.7943361041850525
792,2.073676265238127
793,1.805787492191056
794,2.268567830089045
795,2.842106814483663
796,3.0262231124290624
797,2.9329628265966377
798,3.113294808085727
799,2.7173342521934587
800,2.4487479296642607
801,2.838675500085343
802,2.7912379643731686
803,2.8431229701542056
804,3.129800643856484
805,3.649271757384676
806,4.093054963153511
807,4.204334227271621
808,3.8336751342325157
809,2.7496677500665596
810,2.597512890355162
811,3.1262496829193216
812,2.838850973065135
813,3.0825817448613764
814,3.2865556998216148
815,3.4201978544090332
816,2.8272658374852315
817,2.598169600602939
818,2.260997664463749
819,2.5925159081302107
820,3.0020872152674687
821,3.286633437451934
822,3.166516790723261
823,2.883609889458163
824,2.5300221675403365
825,2.670582197568238
826,2.8146010074068526
827,3.0973957232040616
828,3.455561697701719
829,3.5812440218988515
830,3.3322455306937995
831,3.4215110213691027
832,3.241951409579504
833,3.9322282316687973
834,4.530697378457362
835,4.914502204441495
836,5.007391609173283
837,4.323797073447837
838,4.368899566318666
839,4.130939816499904
840,4.018717875411698
841,3.98073362890765
842,4.136672758474801
843,4.397384661582294
844,4.207534790776679
845,4.15357947054734
846,4.007898534792798
847,4.210287460354629
848,4.255004285097242
849,4.237643625810149
850,4.432137853448864
851,4.263823906576058
852,4.900245285459624
853,4.7043364512483885
854,4.411654456489564
855,4.244237205211046
856,4.053322930340167
857,3.7258560843797395
858,3.6868875735070636
859,3.633652292999377
860,4.009319783182518
861,4.020835499255732
862,4.262051416939282
863,4.618901870429436
864,5.539498587322201
865,5.4647128421116316
866,5.077194881442746
867,5.214288093747427
868,5.758377626592184
869,5.899540885593825
870,5.783667067507636
871,5.22745767042251
872,5.15091151232744
873,4.883278950792356
874,4.941355419913641
875,4.809927037608129
876,4.9412700411690915
877,4.616350780551658
878,4.658487485078142
879,4.988255893137963
880,5.258490098411798
881,5.392062862958113
882,5.400638927463667
883,5.198968894113429
884,4.023484669409374
885,3.8255913317507404
886,4.772122305689705
887,6.1022420758562665
888,6.604972485983135
889,6.32909759266002
890,5.839485146993289
891,5.069591767424993
892,4.564797913259225
893,4.733522450285269
894,4.496345910627148
895,4.659999215560053
896,4.719207651995682
897,4.758688332147128
898,5.083922644413792
899,5.345163815395158
900,5.5857059462500755
901,6.071061695619681
902,5.890764096138973
903,5.758055636133521
904,5.0338133317884814
905,4.646211023348848
906,4.3400686371176995
907,4.36806382924808
908,4.4406637832786755
909,3.789555534491744
910,3.210698600595982
911,1.7771890637226615
912,1.8816481516715744
913,2.9188309230899114
914,2.9689291022393824
915,2.7916255050247827
916,3.0384586458667173
917,3.0695019377176678
918,2.9271301531219795
919,2.49519302555361
920,1.7985309893363561
921,1.6554053427282545
922,1.8386732802647259
923,1.9337734103724427
924,2.001743247378614
925,2.140869933889581
926,2.2191455634175514
927,2.380574263815691
928,2.0007404884926925
929,1.8281861950657707
930,1.654020930283964
931,1.7501022826556596
932,1.7341171033243343
933,1.6903092424565753
934,1.9649063386878578
935,2.0911929578525337
936,2.194814952478264
937,2.686021321192391
938,3.4720279244572447
939,4.002139385501489
940,4.630249455175338
941,4.554037605040323
942,4.49368705819236
943,4.69255167588303
944,3.6582594539671622
945,2.936848557679293
946,2.5980116896994647
947,2.661132632248768
948,2.5497198621808903
949,2.4429183381246156
950,2.532033781534834
951,2.7477660376941966
952,3.136715293112239
953,3.3095774626647434
954,3.67247235792997
955,3.6890799326849932
956,3.6700030086454576
957,3.5903784531302225
958,3.4040058241286926
959,3.1678393716196336
960,2.688895081833946
961,2.9440899087341608
962,4.163657439069729
963,5.320606065011685
964,5.498219943301048
965,5.837475258179082
966,5.4646432228277595
967,4.910072262304987
968,3.94350325931545
969,3.4022803638617414
970,2.575614839064177
971,2.446981342209034
972,2.6579847190097956
973,2.149234491153137
974,2.361881743671986
975,2.486834269982539
976,2.692276086188376
977,2.2903783828692563
978,2.3901328980255725
979,2.672153543438791
980,2.5209478008202355
981,2.4180347924676924
982,2.6605243447100633
983,2.518682695790468
984,2.4009012784780204
985,3.647332755829025
986,4.300250774133367
987,4.739709019978815
988,4.9794897372819715
989,5.65231002626245
990,5.498153043942545
991,5.01819579980167
992,3.985344227505393
993,3.16529306926946
994,2.9984868129527817
995,2.8537010462745567
996,2.744372258477548
997,2.9655400409603363
998,3.3295081729229037
999,3.544358364746755
1000,3.771446920820158
1001,3.7753004863585318
1002,3.940109565811708
1003,4.45563139411229
1004,4.758543176838263
1005,4.226197079604546
1006,4.141526316443636
1007,4.842746474663125
1008,5.269229767783245
1009,5.1288339695331935
1010,5.313467638671719
1011,5.511728752175805
1012,5.837972019516628
1013,6.157691313128658
1014,5.86842691898395
1015,5.327166538733964
1016,4.952246752151661
1017,4.909535229966806
1018,4.861922541962768
1019,5.292723071537107
1020,4.031779814194088
1021,4.021510450268547
1022,3.9280690398707447
1023,4.216301799934201
1024,3.6564311988575096
1025,3.642039694840509
1026,3.6534854915345902
1027,4.3183259521926045
1028,4.250658765432127
1029,4.187723615987243
1030,4.663647472338516
1031,4.77700329748002
1032,4.76939653833312
1033,4.70334017201937
1034,4.041200753818367
1035,3.91653833044383
1036,4.095634728209973
1037,4.598267160763493
1038,4.533213277738111
1039,4.51356462483567
1040,4.354117526637888
1041,4.085444257112952
1042,3.732277012526687
1043,4.290253015449777
1044,4.2916753298260035
1045,4.0657304074241996
1046,4.565699408814702
1047,4.113752392988546
1048,3.616924244527627
1049,3.222653106334136
1050,3.048550787903013
1051,3.1224071552942996
1052,3.246940184215542
1053,3.135867525827352
1054,3.2347929548841927
1055,3.2381327444650263
1056,3.698641722178422
1057,3.7823350581927735
1058,4.143510405678533
1059,4.543479058507528
1060,4.921553143555432
1061,4.824236558763487
1062,5.012888942298291
1063,4.780858880321557
1064,4.253950308675513
1065,4.226749000197916
1066,4.081848218739089
1067,4.158560485461414
1068,4.2424899521108435
1069,4.473533917810063
1070,4.266910424946453
1071,4.526810944972793
1072,4.275896373224874
1073,4.446386664519487
1074,4.490705271531803
1075,4.4003040682322405
1076,4.594442670583038
1077,4.976890820295838
1078,5.635550347031079
1079,5.535666767962675
1080,6.166358647094026
1081,6.304632254856958
1082,6.740907090319689
1083,6.538269901593974
1084,6.663171560158338
1085,7.15348533677784
1086,7.72972622591615
1087,7.679791782093526
1088,6.7840962590484795
1089,6.4975716904854215
1090,6.421027891359133
1091,6.058880611064106
1092,6.313776388560976
1093,6.014792724295081
1094,6.164788385969474
1095,5.825459099841381
1096,6.0605195258132865
1097,6.187641279292585
1098,6.41456726228
1099,6.330353281964936
1100,5.688336481136428
1101,6.015931913049946
1102,5.945254489500584
1103,6.051214588311819
1104,6.405925214761652
1105,6.495001805139339
1106,6.593162335586309
1107,6.580478932911675
1108,6.332925356559769
1109,6.488077612447821
1110,6.522582813126159
1111,6.2379933350866485
1112,6.297434117821742
1113,5.860839754616428
1114,5.708815788914417
1115,5.64611754634538
1116,5.608581808114904
1117,5.882586497093825
1118,5.757555430176109
1119,5.655860068704486
1120,5.6504372136129195
1121,5.767927591494288
1122,5.713413952808553
1123,6.30714299507146
1124,6.468348150712547
1125,6.517451160930691
1126,6.521578418292236
1127,5.8205451803607895
1128,4.92102504232213
1129,4.359155203139753
1130,4.684245619418044
1131,4.746541116225276
1132,4.733393051849086
1133,4.951925220385237
1134,4.9653569628029715
1135,5.085131568146827
1136,5.577749520937642
1137,5.653529365748303
1138,5.820846072554411
1139,5.704066014986773
1140,5.892445014422735
1141,5.520443273090092
1142,5.434874314503278
1143,4.778748752988234
1144,4.487345049674401
1145,4.083762536964278
1146,4.207298583158348
1147,4.531215127442635
1148,4.90445654830104
1149,4.798277154132007
1150,5.309882335094546
1151,5.648590054044353
1152,6.188152473287348
1153,6.056232655739781
1154,5.72143294128179
1155,5.539281296080346
1156,5.2516834206267635
1157,5.212530422564869
1158,5.372577913576617
1159,5.777762736682739
1160,5.49682800262467
1161,4.924372488603871
1162,5.394593957061176
1163,5.57106419525678
1164,5.847677886358712
1165,5.511116223742216
1166,5.265632601416507
1167,5.0199953211864115
1168,4.687158705836321
1169,4.275946316601415
1170,4.01093877037901
1171,4.121951111976566
1172,4.318898956254576
1173,4.4569667248162546
1174,5.478770299752506
1175,5.781735730968153
1176,5.633743775948772
1177,5.1293389942514445
1178,4.5568026794372765
1179,4.370194391906488
1180,4.291187805608273
1181,4.454674150396353
1182,4.075720297516641
1183,4.268575198632817
1184,4.307945642843199
1185,3.9687050417072958
1186,3.977018524195831
1187,4.058015966321253
1188,3.0757207313229125
1189,2.7003672080586054
1190,2.5596426218571158
1191,3.786262590728106
1192,3.7212375795700536
1193,3.548017483333926
1194,3.5383396281943993
1195,3.4400428531644334
1196,3.0368748752785772
1197,2.6293530996757104
1198,1.7951562198249336
1199,1.4500252622311227
1200,2.164755053000918
1201,2.3900004646053814
1202,2.3405965204139054
1203,2.7926050927290276
1204,2.8620187588859967
1205,2.741805015887819
1206,2.3032223483296064
1207,1.8978395841004279
1208,1.4708543949246733
1209,1.4960184988556606
1210,1.2009883978373512
1211,1.9062514295257937
1212,2.3090517462131364
1213,3.042745683312531
1214,3.3729718687526584
1215,3.0545916674812097
1216,3.118141419431652
1217,2.5244841200733483
1218,2.687894137057383
1219,3.2069932420035325
1220,3.803099370527462
1221,3.604311393204631
1222,3.182218764476347
1223,2.125294288429338
1224,2.6051695465275047
1225,2.784513219444383
1226,3.348747944357801
1227,3.81109361372992
1228,4.245085693661209
1229,4.5348002490144435
1230,4.936505071507931
1231,3.7288959376403508
1232,2.831042981030623
1233,2.729422750977812
1234,2.9327868241370134
1235,2.4402185500421547
1236,2.5419980355079166
1237,2.4644867938090655
1238,2.8065400740822914
1239,2.6376919325708834
1240,2.384325992170103
1241,2.5813365185963066
1242,2.78767843104628
1243,3.0442932896117787
1244,3.3681206738975193
1245,3.541847646856359
1246,3.665397075398849
1247,3.235262746394162
1248,3.283693775331796
1249,3.41214482092801
1250,4.464474493745223
1251,6.61693774614311
1252,7.294712938925463
1253,7.151865866336388
1254,6.615066183391937
1255,5.399178168395495
1256,4.091502726786884
1257,3.362044586696136
1258,2.8160472926903926
1259,2.4092832136802347
1260,2.103788707767014
1261,2.317457242851576
1262,2.1535380646897098
1263,2.343141242659316
1264,2.585659355211322
1265,2.432405474010571
1266,2.5830992898035396
1267,2.7701397701529262
1268,2.892656447547989
1269,3.2223262604169327
1270,3.0797774530264275
1271,3.092572485117398
1272,3.5455186468331035
1273,3.568113464362519
1274,4.596278774147318
1275,6.457564702396027
1276,7.342667815091121
1277,7.121221923398431
1278,5.981844297641322
1279,5.249812960160998
1280,4.002281484243106
1281,2.958290100119583
1282,2.3740189215978305
1283,2.046263973536803
1284,1.8405793696153965
1285,1.6703198777255854
1286,1.607733161750303
1287,1.6078888236815865
1288,1.72078970857998
1289,1.8448615597505
1290,1.8300975090011318
1291,2.079768342156225
1292,2.0053384816858286
1293,1.7525596097014777
1294,1.418277087491603
1295,1.5214036606007033
1296,2.2668463604487163
1297,2.466520222098298
1298,3.175877865073479
1299,3.92769291967258
1300,4.972406279078856
1301,4.942734613887137
1302,4.535205036421282
1303,3.889735944286842
1304,3.081653015034208
1305,2.713524602131506
1306,2.71105846679019
1307,2.172018325028691
1308,2.1185845283380984
1309,2.000574862443025
1310,2.017074245523218
1311,2.107979583474942
1312,2.305977868300004
